Time	Fatigue_Val	PAM_Val	Stress_Val	Energy_Val	Pleasant_Val	Daylight	
2021-09-07 08:41:13.616066	No	3	F_Good	S_Low_Energy	S_Unpleasant	Morning
2021-09-07 09:34:19.193612	No	5	Neutral	V_Energetic	S_Pleasant	Morning
2021-09-07 10:05:42.061682	Below_Avg	6	S_Stressed	S_Low_Energy	V_Unpleasant	Morning
2021-09-07 10:36:17.663853	Low	5	S_Stressed	S_Energetic	S_Unpleasant	Morning
2021-09-07 11:06:48.765706	Below_Avg	4	S_Stressed	Neutral	V_Unpleasant	Afternoon
2021-09-07 11:37:11.060236	Low	2	S_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-07 12:07:39.605662	Low	7	S_Stressed	Neutral	S_Unpleasant	Afternoon
2021-09-07 12:53:37.398061	No	7	S_Stressed	S_Low_Energy	V_Unpleasant	Afternoon
2021-09-07 13:24:12.773623	No	8	Neutral	Neutral	Neutral	Afternoon
2021-09-07 13:54:42.694190	No	10	Neutral	Neutral	S_Pleasant	Afternoon
2021-09-07 14:25:12.019950	No	12	F_Good	Neutral	V_Pleasant	Afternoon
2021-09-07 14:55:29.231364	No	14	F_Good	S_Energetic	S_Pleasant	Afternoon
2021-09-07 15:25:46.545479	No	8	Neutral	S_Energetic	S_Pleasant	Afternoon
2021-09-07 18:29:56.007004	No	8	Neutral	S_Low_Energy	Neutral	Evening
2021-09-07 19:00:17.001905	No	10	Neutral	Neutral	S_Pleasant	Evening
2021-09-08 08:06:01.607957	No	3	Neutral	S_Low_Energy	S_Unpleasant	Morning
2021-09-08 08:36:24.384434	Low	2	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-08 09:06:42.507459	No	7	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-08 10:19:28.574265	Low	10	S_Stressed	Neutral	Neutral	Morning
2021-09-08 10:49:59.270260	No	2	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-08 13:58:25.465245	No	6	S_Stressed	Neutral	S_Unpleasant	Afternoon
2021-09-08 15:19:19.014925	No	8	Neutral	Neutral	Neutral	Afternoon
2021-09-08 15:49:47.734764	No	2	S_Stressed	V_Low_Energy	S_Unpleasant	Afternoon
2021-09-08 16:20:02.303620	Low	7	S_Stressed	S_Low_Energy	S_Unpleasant	Evening
2021-09-08 16:50:16.224527	No	15	V_Stressed	Neutral	Neutral	Evening
2021-09-09 08:50:53.248790	No	3	Neutral	V_Low_Energy	Neutral	Morning
2021-09-09 09:21:04.098173	No	12	Neutral	Neutral	Neutral	Morning
2021-09-09 09:57:29.832442	Low	7	S_Stressed	Neutral	S_Unpleasant	Morning
2021-09-09 10:27:43.585933	Low	5	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-09 10:58:18.375071	No	9	S_Stressed	Neutral	Neutral	Morning
2021-09-09 11:52:20.787660	No	7	S_Stressed	Neutral	S_Unpleasant	Afternoon
2021-09-09 12:22:33.385381	Below_Avg	5	V_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-09 12:52:45.831533	No	8	Neutral	Neutral	Neutral	Afternoon
2021-09-09 13:54:33.248721	Below_Avg	6	S_Stressed	Neutral	S_Unpleasant	Afternoon
2021-09-09 14:24:53.497625	Low	7	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-09 14:55:18.612522	Low	6	S_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-09 15:54:44.942840	Below_Avg	2	S_Stressed	V_Low_Energy	S_Unpleasant	Afternoon
2021-09-09 16:26:51.920678	Low	2	S_Stressed	S_Low_Energy	S_Unpleasant	Evening
2021-09-10 08:23:21.858056	No	3	Neutral	S_Low_Energy	Neutral	Morning
2021-09-10 08:53:41.625333	No	12	Neutral	S_Low_Energy	S_Unpleasant	Morning
2021-09-10 10:13:00.365522	No	14	Neutral	Neutral	Neutral	Morning
2021-09-10 10:43:07.805316	Low	7	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-10 11:13:13.632386	No	7	Neutral	S_Low_Energy	Neutral	Afternoon
2021-09-10 12:05:25.383126	Low	8	Neutral	S_Low_Energy	Neutral	Afternoon
2021-09-13 11:24:35.316396	Below_Avg	5	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-13 11:54:44.491710	No	10	Neutral	Neutral	Neutral	Afternoon
2021-09-13 12:25:08.472526	Low	11	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-13 12:55:23.387140	Below_Avg	5	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-13 13:25:33.655092	Avg	4	V_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 13:55:45.818101	Below_Avg	7	V_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 14:25:53.918261	Avg	7	V_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 14:56:06.350114	Avg	6	V_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 15:40:22.866732	Below_Avg	6	S_Stressed	S_Low_Energy	S_Unpleasant	Afternoon
2021-09-13 16:10:34.592835	Avg	6	V_Stressed	S_Low_Energy	S_Unpleasant	Evening
2021-09-13 16:40:44.808818	Below_Avg	2	S_Stressed	S_Low_Energy	Neutral	Evening
2021-09-14 09:04:27.482654	Low	2	S_Stressed	S_Low_Energy	S_Unpleasant	Morning
2021-09-14 09:34:40.128357	Below_Avg	6	S_Stressed	Neutral	S_Unpleasant	Morning
2021-09-14 10:54:19.296131	No	8	Neutral	Neutral	Neutral	Morning
2021-09-14 11:25:07.298975	Low	7	F_Good	S_Energetic	S_Unpleasant	Afternoon
2021-09-14 11:55:43.522521	No	11	F_Good	V_Energetic	Neutral	Afternoon
2021-09-14 12:26:15.878257	Low	6	S_Stressed	S_Low_Energy	Neutral	Afternoon
2021-09-14 12:56:32.982335	Low	6	F_Good	V_Energetic	S_Pleasant	Afternoon
2021-09-14 13:26:50.738821	No	7	S_Stressed	V_Energetic	Neutral	Afternoon
2021-09-14 15:18:18.074850	No	6	S_Stressed	S_Energetic	Neutral	Afternoon
2021-09-14 15:48:47.178993	No	12	S_Stressed	Neutral	S_Pleasant	Afternoon
